place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_532470092,Bund Garden,18.541623,73.884249,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,532470092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Category:Bund Garden, Pune",False,False,budget,Tourist Attraction
OPE_346508512,Burhani Masjid,18.512945,73.879015,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,346508512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_630481762,Butterfly Park,18.48632,73.852377,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,630481762,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_744833209,Cascade Garden,18.504639,73.74073,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,744833209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_5800916948,Chakradhar Mitra Mandal,18.478775,73.819287,tourist_attraction,place_of_worship,"Sinhagad Road, Pune, 411051",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,5800916948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10682859094,Chatrapati Shivaji Maharaj,18.502128,73.813489,tourist_attraction,artwork,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10682859094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_11259004336,Chatrapati Shivaji Maharaj Mandir,18.510033,73.796976,tourist_attraction,place_of_worship,"Indira Shankar Nagri, Bhusari Colony, Paud Road, Pune, 411038",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,11259004336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_265922891,Chaturshrungi Mandir,18.538887,73.82777,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,265922891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_6241949026,Chavhan Shriram Mandir,18.518969,73.858547,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,6241949026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_9438496733,Chhatrapati Sambhaji Maharaj Statue,18.515697,73.842148,tourist_attraction,artwork,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,9438496733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_282102067,Chhatrapati Shahu Udyan,18.520861,73.868041,tourist_attraction,park,"414, Gadge Maharaj Road, Pune, 411001",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,282102067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_996818278,Chhatrapati Shivaji Garden,18.544082,73.828364,tourist_attraction,garden,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,996818278,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,True,False,budget,Tourist Attraction
